sb_n,edl_used,outer_f,gesture,recall
10,0,4,8,0.8609271523178808
10,0,4,9,0.9905660377358492
10,0,4,10,0.6578947368421053
10,0,4,11,0.26785714285714285
10,0,4,12,0.7762237762237763
1,0,5,1,0.6982248520710059
1,0,5,2,0.7676767676767676
1,0,5,3,0.8702290076335878
1,0,5,4,0.8863636363636364
1,0,5,5,0.8208955223880597
1,0,5,6,0.8872180451127819
1,0,5,7,0.6453900709219859
1,0,5,8,0.8928571428571429
1,0,5,9,0.3406593406593407
1,0,5,10,0.9090909090909092
1,0,5,11,0.6412213740458015
1,0,5,12,0.2993197278911565
2,0,5,1,0.7511737089201878
2,0,5,2,0.9057971014492754
2,0,5,3,0.8564102564102564
2,0,5,4,0.7236842105263158
2,0,5,5,0.9393939393939394
2,0,5,6,0.5606936416184971
2,0,5,7,0.6748768472906403
2,0,5,8,0.8447204968944101
2,0,5,9,0.7916666666666666
2,0,5,10,0.9903846153846154
2,0,5,11,0.5203252032520326
2,0,5,12,0.9920634920634921
3,0,5,1,0.7615384615384615
3,0,5,2,0.990909090909091
3,0,5,3,0.6041666666666666
3,0,5,4,0.9439252336448598
3,0,5,5,0.7938931297709924
3,0,5,6,0.6013986013986014
3,0,5,7,0.4336283185840708
3,0,5,8,1.0
3,0,5,9,0.65625
3,0,5,10,1.0
3,0,5,11,0.981981981981982
3,0,5,12,0.8793103448275862
4,0,5,1,0.791907514450867
4,0,5,2,0.8571428571428571
4,0,5,3,0.79375
4,0,5,4,0.8098591549295775
4,0,5,5,0.8120805369127517
4,0,5,6,0.33093525179856115
4,0,5,7,0.9084507042253521
4,0,5,8,0.7898550724637681
4,0,5,9,0.9668874172185432
4,0,5,10,0.6923076923076923
4,0,5,11,0.5384615384615384
4,0,5,12,0.8554216867469879
5,0,5,1,0.5098039215686274
5,0,5,2,0.9158878504672896
5,0,5,3,0.5634517766497462
5,0,5,4,1.0
5,0,5,5,0.6783216783216783
5,0,5,6,0.8175675675675675
5,0,5,7,0.7894736842105263
5,0,5,8,0.8269230769230769
5,0,5,9,0.7263157894736842
5,0,5,10,0.8518518518518519
5,0,5,11,0.9574468085106383
5,0,5,12,1.0
6,0,5,1,0.9014778325123152
6,0,5,2,0.5666666666666667
6,0,5,3,0.4583333333333333
6,0,5,4,0.6528925619834711
6,0,5,5,0.7066666666666667
6,0,5,6,0.5560975609756098
6,0,5,7,0.6923076923076923
6,0,5,8,0.6477987421383647
6,0,5,9,0.494949494949495
6,0,5,10,0.9464285714285714
6,0,5,11,0.5504587155963303
6,0,5,12,0.7701149425287356
7,0,5,1,1.0
7,0,5,2,0.9245283018867924
7,0,5,3,0.8521739130434782
7,0,5,4,0.8650793650793651
7,0,5,5,0.5984848484848485
7,0,5,6,0.6474820143884892
7,0,5,7,0.9935064935064936
7,0,5,8,0.7697368421052632
7,0,5,9,0.9302325581395348
7,0,5,10,0.7524271844660194
7,0,5,11,0.3813559322033898
7,0,5,12,0.8
8,0,5,1,0.8727272727272727
8,0,5,2,0.3739837398373984
8,0,5,3,0.7806451612903226
8,0,5,4,0.8190476190476189
8,0,5,5,0.5944055944055944
8,0,5,6,0.8333333333333334
8,0,5,7,0.5248618784530387
8,0,5,8,0.9945652173913044
8,0,5,9,0.0
8,0,5,10,0.9241379310344828
8,0,5,11,0.7594936708860759
8,0,5,12,0.9914529914529916
9,0,5,1,0.6285714285714286
9,0,5,2,0.9425287356321842
9,0,5,3,0.902439024390244
9,0,5,4,0.8888888888888888
9,0,5,5,0.8461538461538461
9,0,5,6,0.3236994219653179
9,0,5,7,0.9523809523809524
9,0,5,8,0.6382978723404256
9,0,5,9,0.1862745098039216
9,0,5,10,1.0
9,0,5,11,0.8421052631578947
9,0,5,12,0.8932038834951457
10,0,5,1,0.6818181818181818
10,0,5,2,0.8520710059171598
10,0,5,3,0.9264069264069263
10,0,5,4,0.6923076923076923
10,0,5,5,0.8362068965517241
10,0,5,6,0.6451612903225806
10,0,5,7,0.9759036144578314
10,0,5,8,0.7972027972027972
10,0,5,9,0.7961165048543689
10,0,5,10,0.4354838709677419
10,0,5,11,0.6326530612244898
10,0,5,12,1.0
1,0,6,1,0.1925133689839572
1,0,6,2,0.9636363636363636
1,0,6,3,0.9047619047619048
1,0,6,4,0.9917355371900828
1,0,6,5,0.7669172932330827
1,0,6,6,0.0
1,0,6,7,0.9747899159663864
1,0,6,8,0.9655172413793104
1,0,6,9,0.6106194690265486
1,0,6,10,0.8977272727272727
1,0,6,11,0.6885245901639344
1,0,6,12,0.8990825688073395
2,0,6,1,0.6851851851851852
2,0,6,2,0.8128078817733991
2,0,6,3,0.9060773480662984
2,0,6,4,0.7197452229299363
2,0,6,5,0.5191256830601093
2,0,6,6,0.8148148148148148
2,0,6,7,0.8177083333333334
2,0,6,8,0.92
2,0,6,9,0.448
2,0,6,10,0.9327731092436976
2,0,6,11,0.9338842975206612
2,0,6,12,1.0
3,0,6,1,0.8057142857142857
3,0,6,2,0.7378640776699029
3,0,6,3,0.7769230769230769
3,0,6,4,0.7952755905511811
3,0,6,5,0.6986301369863014
3,0,6,6,0.5289256198347108
3,0,6,7,0.9772727272727272
3,0,6,8,0.8290598290598291
3,0,6,9,1.0
3,0,6,10,0.9125
3,0,6,11,0.4088888888888889
3,0,6,12,0.8954248366013072
4,0,6,1,0.7127659574468085
4,0,6,2,0.7923497267759563
4,0,6,3,0.8055555555555556
4,0,6,4,0.6515151515151515
4,0,6,5,0.7407407407407407
4,0,6,6,0.7777777777777778
4,0,6,7,0.9655172413793104
4,0,6,8,0.8625954198473282
4,0,6,9,0.6903225806451613
4,0,6,10,0.6007326007326007
4,0,6,11,0.359375
4,0,6,12,0.9259259259259259
5,0,6,1,0.8992248062015504
5,0,6,2,0.9914529914529916
5,0,6,3,0.75
5,0,6,4,0.7580645161290323
5,0,6,5,0.7445255474452555
5,0,6,6,0.8195488721804511
5,0,6,7,0.6992481203007519
5,0,6,8,0.54421768707483
5,0,6,9,0.9583333333333334
5,0,6,10,0.6785714285714286
5,0,6,11,0.9112903225806452
5,0,6,12,0.992248062015504
6,0,6,1,0.7559808612440191
6,0,6,2,0.5755395683453237
6,0,6,3,0.7604790419161677
6,0,6,4,0.528169014084507
6,0,6,5,0.5152838427947598
6,0,6,6,0.7570093457943925
6,0,6,7,0.8928571428571429
6,0,6,8,0.6264367816091954
6,0,6,9,0.3584905660377358
6,0,6,10,1.0
6,0,6,11,0.7457627118644068
6,0,6,12,0.5675675675675675
7,0,6,1,0.8677248677248677
7,0,6,2,0.9827586206896552
7,0,6,3,0.7534246575342466
7,0,6,4,0.9739130434782608
7,0,6,5,0.6712328767123288
7,0,6,6,0.6535433070866141
7,0,6,7,0.9208633093525179
7,0,6,8,0.9203539823008848
7,0,6,9,0.5496183206106869
7,0,6,10,0.8839285714285714
7,0,6,11,0.6329113924050633
7,0,6,12,0.8580645161290322
8,0,6,1,0.9257425742574258
8,0,6,2,0.6548672566371682
8,0,6,3,0.9915966386554622
8,0,6,4,0.9318181818181818
8,0,6,5,0.7132352941176471
8,0,6,6,0.1568627450980392
8,0,6,7,0.8009478672985783
8,0,6,8,0.6134969325153374
8,0,6,9,0.6666666666666666
8,0,6,10,1.0
8,0,6,11,0.9367088607594936
8,0,6,12,0.8837209302325582
9,0,6,1,0.593607305936073
9,0,6,2,0.8085106382978723
9,0,6,3,0.9810426540284359
9,0,6,4,0.7941176470588235
9,0,6,5,0.8181818181818182
9,0,6,6,0.7751937984496124
9,0,6,7,0.7573529411764706
9,0,6,8,1.0
9,0,6,9,0.0
9,0,6,10,1.0
9,0,6,11,0.975206611570248
9,0,6,12,1.0
10,0,6,1,0.2965116279069768
10,0,6,2,0.7610619469026548
10,0,6,3,0.9408602150537636
10,0,6,4,0.6035502958579881
10,0,6,5,0.7589285714285714
10,0,6,6,0.8040540540540541
10,0,6,7,0.8151260504201681
10,0,6,8,0.8461538461538461
10,0,6,9,0.7043478260869566
10,0,6,10,0.7142857142857143
10,0,6,11,0.5175438596491229
10,0,6,12,0.8412698412698413
1,1,1,1,0.18243243243243248
1,1,1,2,0.34074074074074073
1,1,1,3,0.9019607843137256
1,1,1,4,0.902097902097902
1,1,1,5,0.75
1,1,1,6,0.4057971014492754
1,1,1,7,0.8120805369127517
1,1,1,8,0.8395061728395061
1,1,1,9,0.6363636363636364
1,1,1,10,0.1625
1,1,1,11,0.8018018018018018
1,1,1,12,0.9747899159663864
2,1,1,1,0.2894736842105263
2,1,1,2,0.5714285714285714
2,1,1,3,0.7128205128205128
2,1,1,4,0.8066298342541437
2,1,1,5,0.7286432160804021
2,1,1,6,0.8554216867469879
2,1,1,7,0.7695652173913043
2,1,1,8,0.7704918032786885
2,1,1,9,0.3488372093023256
2,1,1,10,0.9079754601226994
2,1,1,11,0.7309941520467836
2,1,1,12,0.6111111111111112
3,1,1,1,0.7215189873417721
3,1,1,2,0.6805555555555556
3,1,1,3,0.8725490196078431
3,1,1,4,0.8264462809917356
3,1,1,5,0.819672131147541
3,1,1,6,1.0
3,1,1,7,0.8040540540540541
3,1,1,8,0.8811881188118812
3,1,1,9,0.8110236220472441
3,1,1,10,0.2033898305084746
3,1,1,11,0.9595959595959596
3,1,1,12,0.42758620689655175
4,1,1,1,0.5083333333333333
4,1,1,2,0.9929577464788732
4,1,1,3,0.8117647058823529
4,1,1,4,0.9090909090909092
4,1,1,5,0.859375
4,1,1,6,0.6052631578947368
4,1,1,7,0.4554973821989529
4,1,1,8,0.7723577235772358
4,1,1,9,0.8012048192771084
4,1,1,10,0.8775510204081632
4,1,1,11,0.6174496644295302
4,1,1,12,0.7307692307692307
5,1,1,1,0.0
5,1,1,2,0.9606299212598424
5,1,1,3,0.8773584905660378
5,1,1,4,0.9540229885057472
5,1,1,5,0.9022556390977444
5,1,1,6,0.9117647058823528
5,1,1,7,0.1503267973856209
5,1,1,8,0.75177304964539
5,1,1,9,0.3391304347826087
5,1,1,10,0.02654867256637168
5,1,1,11,1.0
5,1,1,12,0.7024793388429752
6,1,1,1,0.6334841628959276
6,1,1,2,0.4967741935483871
6,1,1,3,0.3863636363636364
6,1,1,4,0.6344827586206897
6,1,1,5,0.8478260869565217
6,1,1,6,0.32663316582914576
6,1,1,7,0.5584415584415584
6,1,1,8,0.6521739130434783
6,1,1,9,0.0457516339869281
6,1,1,10,0.1720430107526882
6,1,1,11,0.14444444444444446
6,1,1,12,0.7018633540372671
7,1,1,1,0.3785310734463277
7,1,1,2,0.811965811965812
7,1,1,3,0.7197452229299363
7,1,1,4,0.9473684210526316
7,1,1,5,0.6982248520710059
7,1,1,6,0.610062893081761
7,1,1,7,0.6826923076923077
7,1,1,8,0.7753623188405797
7,1,1,9,0.21084337349397592
7,1,1,10,0.25
7,1,1,11,0.04861111111111111
7,1,1,12,0.7727272727272727
8,1,1,1,0.807843137254902
8,1,1,2,0.7333333333333333
8,1,1,3,0.9207317073170732
8,1,1,4,0.029411764705882363
8,1,1,5,1.0
8,1,1,6,0.5487804878048781
8,1,1,7,0.9380530973451328
8,1,1,8,0.8493150684931506
8,1,1,9,0.13756613756613756
8,1,1,10,1.0
8,1,1,11,0.8488372093023255
8,1,1,12,0.16049382716049382
9,1,1,1,0.6616915422885572
9,1,1,2,0.6228070175438597
9,1,1,3,1.0
9,1,1,4,0.7307692307692307
9,1,1,5,0.9545454545454546
9,1,1,6,0.8507462686567164
9,1,1,7,0.9487179487179488
9,1,1,8,0.5744680851063829
9,1,1,9,0.12987012987012986
9,1,1,10,1.0
9,1,1,11,0.06818181818181818
9,1,1,12,0.5189873417721519
10,1,1,1,0.6714285714285714
10,1,1,2,1.0
10,1,1,3,0.6540540540540539
10,1,1,4,0.6896551724137931
10,1,1,5,0.7434782608695653
10,1,1,6,0.7005988023952096
10,1,1,7,0.8598130841121495
10,1,1,8,0.9096385542168676
10,1,1,9,0.3148148148148148
10,1,1,10,0.4019607843137255
10,1,1,11,0.73
10,1,1,12,0.5779816513761468
1,1,2,1,0.4962406015037594
1,1,2,2,0.9326923076923076
1,1,2,3,0.8439716312056738
1,1,2,4,1.0
1,1,2,5,0.8474576271186439
1,1,2,6,0.6201550387596899
1,1,2,7,0.19875776397515527
1,1,2,8,0.6602564102564102
1,1,2,9,0.8067226890756303
1,1,2,10,0.6179775280898876
1,1,2,11,0.9814814814814816
1,1,2,12,1.0
