sb_n,edl_used,outer_f,acti_fun,skew,uncertainty,nAP
10,2,4,relu,0.2894472361809045,entropy,0.6885355169213834
10,2,4,relu,0.2894472361809045,-max_prob,0.6814306736423984
10,2,4,relu,0.2894472361809045,vacuity,0.6778107978034497
10,2,4,relu,0.2894472361809045,dissonance,0.21487267832171209
1,2,5,relu,0.3154492566257272,entropy,0.4874511933621032
1,2,5,relu,0.3154492566257272,-max_prob,0.4844341733552121
1,2,5,relu,0.3154492566257272,vacuity,0.4671079142970793
1,2,5,relu,0.3154492566257272,dissonance,0.26152655230148314
2,2,5,relu,0.25092250922509224,entropy,0.4776972445172832
2,2,5,relu,0.25092250922509224,-max_prob,0.4786240691122482
2,2,5,relu,0.25092250922509224,vacuity,0.4727593301085714
2,2,5,relu,0.25092250922509224,dissonance,0.14873565622683074
3,2,5,relu,0.18394160583941604,entropy,0.41842825021454977
3,2,5,relu,0.18394160583941604,-max_prob,0.4301202328237221
3,2,5,relu,0.18394160583941604,vacuity,0.40612250154208057
3,2,5,relu,0.18394160583941604,dissonance,0.21981998673434808
4,2,5,relu,0.2773393461104848,entropy,0.5952072524608807
4,2,5,relu,0.2773393461104848,-max_prob,0.599932730554346
4,2,5,relu,0.2773393461104848,vacuity,0.5812223812966101
4,2,5,relu,0.2773393461104848,dissonance,0.2269126015307989
5,2,5,relu,0.2573575453976205,entropy,0.5961022168417235
5,2,5,relu,0.2573575453976205,-max_prob,0.5957856322497624
5,2,5,relu,0.2573575453976205,vacuity,0.5839457949256868
5,2,5,relu,0.2573575453976205,dissonance,0.2425790668438797
6,2,5,relu,0.34473543559593794,entropy,0.6238962035004443
6,2,5,relu,0.34473543559593794,-max_prob,0.6228870382538828
6,2,5,relu,0.34473543559593794,vacuity,0.6208283764643406
6,2,5,relu,0.34473543559593794,dissonance,0.1812676733301753
7,2,5,relu,0.2420228777844672,entropy,0.6269168158772449
7,2,5,relu,0.2420228777844672,-max_prob,0.6128734606555492
7,2,5,relu,0.2420228777844672,vacuity,0.6240748554693123
7,2,5,relu,0.2420228777844672,dissonance,0.2646884702898495
8,2,5,relu,0.2536319612590799,entropy,0.4674784484861798
8,2,5,relu,0.2536319612590799,-max_prob,0.4745467342071781
8,2,5,relu,0.2536319612590799,vacuity,0.44827782298522617
8,2,5,relu,0.2536319612590799,dissonance,0.25719734684468204
9,2,5,relu,0.19268451992161986,entropy,0.488007253346113
9,2,5,relu,0.19268451992161986,-max_prob,0.5067998525506687
9,2,5,relu,0.19268451992161986,vacuity,0.4430010745605478
9,2,5,relu,0.19268451992161986,dissonance,0.2407588804013114
10,2,5,relu,0.2710129310344828,entropy,0.682766105599282
10,2,5,relu,0.2710129310344828,-max_prob,0.6809040932468815
10,2,5,relu,0.2710129310344828,vacuity,0.6802126029811723
10,2,5,relu,0.2710129310344828,dissonance,0.15721229399303746
1,2,6,relu,0.25673854447439354,entropy,0.5299408961199314
1,2,6,relu,0.25673854447439354,-max_prob,0.5461816064105888
1,2,6,relu,0.25673854447439354,vacuity,0.4896952752222858
1,2,6,relu,0.25673854447439354,dissonance,0.2795515623907776
2,2,6,relu,0.23504940197607904,entropy,0.6049472050373605
2,2,6,relu,0.23504940197607904,-max_prob,0.6047717805615718
2,2,6,relu,0.23504940197607904,vacuity,0.6015146961322578
2,2,6,relu,0.23504940197607904,dissonance,0.13491176965915586
3,2,6,relu,0.2122905027932961,entropy,0.5412945596717892
3,2,6,relu,0.2122905027932961,-max_prob,0.5474116605847346
3,2,6,relu,0.2122905027932961,vacuity,0.531424769227776
3,2,6,relu,0.2122905027932961,dissonance,0.17489678377622622
4,2,6,relu,0.27884615384615385,entropy,0.5826132052981838
4,2,6,relu,0.27884615384615385,-max_prob,0.5884081196695821
4,2,6,relu,0.27884615384615385,vacuity,0.57180600510187
4,2,6,relu,0.27884615384615385,dissonance,0.20255298020187154
5,2,6,relu,0.16162266580811332,entropy,0.5226033673506493
5,2,6,relu,0.16162266580811332,-max_prob,0.524627755294023
5,2,6,relu,0.16162266580811332,vacuity,0.5000639558347421
5,2,6,relu,0.16162266580811332,dissonance,0.13161875080717406
6,2,6,relu,0.3516699410609037,entropy,0.5065458305691449
6,2,6,relu,0.3516699410609037,-max_prob,0.513282001707154
6,2,6,relu,0.3516699410609037,vacuity,0.4913469270098102
6,2,6,relu,0.3516699410609037,dissonance,0.2651890538329981
7,2,6,relu,0.1887755102040816,entropy,0.4150753212685696
7,2,6,relu,0.1887755102040816,-max_prob,0.4549333155998162
7,2,6,relu,0.1887755102040816,vacuity,0.3801009480407743
7,2,6,relu,0.1887755102040816,dissonance,0.3158154786338534
8,2,6,relu,0.2161812297734628,entropy,0.5480683913653023
8,2,6,relu,0.2161812297734628,-max_prob,0.5294347403549736
8,2,6,relu,0.2161812297734628,vacuity,0.535832127120119
8,2,6,relu,0.2161812297734628,dissonance,0.181796000863626
9,2,6,relu,0.19270833333333331,entropy,0.5255235262649052
9,2,6,relu,0.19270833333333331,-max_prob,0.5449535795174222
9,2,6,relu,0.19270833333333331,vacuity,0.4946483730931425
9,2,6,relu,0.19270833333333331,dissonance,0.24743635995112745
10,2,6,relu,0.34970318402590395,entropy,0.6818862436987072
10,2,6,relu,0.34970318402590395,-max_prob,0.6815172229396748
10,2,6,relu,0.34970318402590395,vacuity,0.6821927553167925
10,2,6,relu,0.34970318402590395,dissonance,0.18387316320872674
