edl_used,sb,test_trial,threshold,RR,TAR
0,3,1,0.76,0.4424,0.8944
0,3,1,0.78,0.4709,0.9075
0,3,1,0.8,0.4994,0.9196
0,3,1,0.8200000000000001,0.5297,0.946
0,3,1,0.84,0.5613,0.9520000000000001
0,3,1,0.86,0.5867,0.97
0,3,1,0.88,0.6183,0.9789
0,3,1,0.9,0.6487,0.9894
0,3,1,0.92,0.6809,0.9942
0,3,1,0.94,0.7144,0.9957
0,3,1,0.96,0.7528,0.9975
0,3,1,0.98,0.8005,1.0
0,4,1,0.0,0.0,0.6897
0,4,1,0.02,0.0,0.6897
0,4,1,0.04,0.0,0.6897
0,4,1,0.06,0.0,0.6897
0,4,1,0.08,0.0,0.6897
0,4,1,0.1,0.0,0.6897
0,4,1,0.12,0.0,0.6897
0,4,1,0.14,0.0,0.6897
0,4,1,0.16,0.0011,0.6899
0,4,1,0.18,0.0028,0.6905
0,4,1,0.2,0.0033,0.6909
0,4,1,0.22,0.0045,0.6906
0,4,1,0.24,0.0061,0.6906
0,4,1,0.26,0.0073,0.6908
0,4,1,0.28,0.0095,0.6913
0,4,1,0.3,0.0156,0.6916
0,4,1,0.32,0.0195,0.6938
0,4,1,0.34,0.0257,0.6959
0,4,1,0.36,0.0357,0.7014
0,4,1,0.38,0.0541,0.7121
0,4,1,0.4,0.067,0.7165
0,4,1,0.42,0.0865,0.7251
0,4,1,0.44,0.106,0.7328
0,4,1,0.46,0.1267,0.7406
0,4,1,0.48,0.1451,0.7435
0,4,1,0.5,0.1719,0.7554
0,4,1,0.52,0.2026,0.7628
0,4,1,0.54,0.2372,0.774
0,4,1,0.56,0.2651,0.7874
0,4,1,0.58,0.2991,0.8105
0,4,1,0.6,0.3382,0.828
0,4,1,0.62,0.3683,0.8419
0,4,1,0.64,0.4018,0.8601
0,4,1,0.66,0.4208,0.868
0,4,1,0.68,0.4442,0.8825
0,4,1,0.7000000000000001,0.4676,0.8952
0,4,1,0.72,0.4877,0.9074
0,4,1,0.74,0.5134,0.9243
0,4,1,0.76,0.5335,0.9246
0,4,1,0.78,0.5558,0.9384
0,4,1,0.8,0.5748,0.9462
0,4,1,0.8200000000000001,0.596,0.9627
0,4,1,0.84,0.6172,0.9665
0,4,1,0.86,0.6417,0.9751
0,4,1,0.88,0.6652,0.9817
0,4,1,0.9,0.6903,0.9856
0,4,1,0.92,0.7137,0.9922
0,4,1,0.94,0.7344,0.9958
0,4,1,0.96,0.7667,1.0
0,4,1,0.98,0.7969,1.0
0,5,1,0.0,0.0,0.6091
0,5,1,0.02,0.0,0.6091
0,5,1,0.04,0.0,0.6091
0,5,1,0.06,0.0,0.6091
0,5,1,0.08,0.0,0.6091
0,5,1,0.1,0.0,0.6091
0,5,1,0.12,0.0014,0.6092
0,5,1,0.14,0.0041,0.6102
0,5,1,0.16,0.0055,0.611
0,5,1,0.18,0.0082,0.6127
0,5,1,0.2,0.0096,0.6136
0,5,1,0.22,0.0192,0.6119
0,5,1,0.24,0.0295,0.6113
0,5,1,0.26,0.0322,0.6123
0,5,1,0.28,0.0398,0.6114
0,5,1,0.3,0.048,0.6124
0,5,1,0.32,0.0521,0.6136
0,5,1,0.34,0.0624,0.6152
0,5,1,0.36,0.0727,0.6191
0,5,1,0.38,0.0857,0.6242
0,5,1,0.4,0.1022,0.6303
0,5,1,0.42,0.1145,0.6367
0,5,1,0.44,0.1351,0.6487
0,5,1,0.46,0.1571,0.6574
0,5,1,0.48,0.1708,0.6634
0,5,1,0.5,0.1886,0.6686
0,5,1,0.52,0.2222,0.6799
0,5,1,0.54,0.2517,0.6893
0,5,1,0.56,0.2723,0.6975
0,5,1,0.58,0.297,0.7132
0,5,1,0.6,0.3189,0.7271
0,5,1,0.62,0.3333,0.7335
0,5,1,0.64,0.3498,0.7373
0,5,1,0.66,0.3765,0.7525
0,5,1,0.68,0.3978,0.7677
0,5,1,0.7000000000000001,0.43,0.7929999999999999
0,5,1,0.72,0.4492,0.8057
0,5,1,0.74,0.4719,0.8234
0,5,1,0.76,0.4925,0.8338
0,5,1,0.78,0.5096,0.8462
0,5,1,0.8,0.5233,0.8532
0,5,1,0.8200000000000001,0.546,0.8731
0,5,1,0.84,0.5796,0.9054
0,5,1,0.86,0.6022,0.9121
0,5,1,0.88,0.6269,0.9209999999999999
0,5,1,0.9,0.6509,0.9312
0,5,1,0.92,0.6804,0.9421
0,5,1,0.94,0.7071,0.9461
